year,region,oni_value,rainfall_deviation,temperature_anomaly,drought_index
2019,Punjab,1.46,-0.709,0.399,0.584
2019,Uttarakhand,1.49,-0.423,0.3,0.539
2019,Goa,1.1,-0.203,0.09,0.592
2020,Bihar,0.71,-0.116,-0.04,0.552
2020,Jharkhand,0.61,-0.262,0.092,0.536
2020,Odisha,-0.16,-0.32,0.073,0.453
2020,Chhattisgarh,0.39,0.434,0.227,0.057
2020,Madhya Pradesh,-0.14,-0.236,-0.121,0.475
2020,Rajasthan,1.06,-0.374,0.037,0.425
2020,Gujarat,-0.14,0.186,0.341,0.437
2020,Maharashtra,0.02,0.766,-0.022,0.107
2020,Karnataka,0.1,-0.424,0.259,0.403
2020,Andhra Pradesh,0.31,-0.044,0.102,0.274
2020,Telangana,0.66,0.455,0.001,0.312
2020,Tamil Nadu,-0.56,0.122,-0.177,0.206
2020,Kerala,0.21,0.591,0.314,0.063
2020,West Bengal,0.73,-0.49,-0.147,0.58
2020,Assam,-1.1,-0.029,0.263,0.148
2020,Uttar Pradesh,-0.23,0.227,-0.553,0.241
2020,Haryana,-0.36,0.516,0.039,0.163
2020,Punjab,-0.17,0.542,0.311,0.165
2020,Uttarakhand,-0.1,0.094,-0.083,0.357
2020,Goa,1.87,0.156,0.292,0.575
2021,Bihar,-0.37,-0.143,-0.098,0.445
2021,Jharkhand,-1.08,0.148,-0.062,0.0
2021,Odisha,-0.07,0.303,-0.117,0.24
2021,Chhattisgarh,-1.12,-0.097,-0.007,0.174
2021,Madhya Pradesh,0.82,-0.826,0.007,0.557
2021,Rajasthan,-1.45,0.412,0.02,0.106
2021,Gujarat,-0.41,0.023,-0.164,0.241
2021,Maharashtra,0.81,0.056,0.299,0.309
2021,Karnataka,0.27,-0.568,-0.299,0.503
2021,Andhra Pradesh,-0.72,0.119,0.019,0.34
2021,Telangana,0.51,-0.168,0.169,0.432
2021,Tamil Nadu,-0.25,0.056,0.317,0.31
2021,Kerala,-0.77,0.081,0.041,0.144
2021,West Bengal,-0.46,0.128,0.113,0.276
2021,Assam,-0.97,-0.352,0.086,0.177
2021,Uttar Pradesh,1.37,0.527,-0.431,0.391
2021,Haryana,-1.15,-0.322,0.307,0.128
2021,Punjab,-0.41,-0.454,0.131,0.22
2021,Uttarakhand,-0.43,-0.075,-0.1,0.345
2021,Goa,0.44,0.384,0.273,0.249
2022,Bihar,1.01,0.185,-0.036,0.275
2022,Jharkhand,-0.46,-0.341,0.082,0.366
2022,Odisha,0.22,0.066,-0.044,0.386
2022,Chhattisgarh,-0.56,-0.278,0.302,0.426
2022,Madhya Pradesh,1.21,-0.602,0.201,0.81
2022,Rajasthan,0.72,-0.118,-0.173,0.586
2022,Gujarat,0.08,-0.23,0.02,0.551
2022,Maharashtra,0.34,-0.186,0.245,0.312
2022,Karnataka,-0.63,0.078,-0.024,0.128
2022,Andhra Pradesh,-0.52,-0.336,-0.089,0.31
2022,Telangana,1.22,-0.42,0.246,0.561
2022,Tamil Nadu,-0.21,-0.356,-0.101,0.34
2022,Kerala,-0.43,0.209,-0.152,0.208
2022,West Bengal,-0.9,-0.011,-0.072,0.179
2022,Assam,-0.23,0.333,-0.229,0.162
2022,Uttar Pradesh,-1.05,0.565,-0.231,0.076
2022,Haryana,0.35,0.589,-0.298,0.15
2022,Punjab,-0.22,-0.26,-0.288,0.295
2022,Uttarakhand,-0.78,-0.047,-0.101,0.183
2022,Goa,0.91,0.094,0.414,0.602
2023,Bihar,0.09,0.504,-0.037,0.258
2023,Jharkhand,0.8,-0.206,0.353,0.274
2023,Odisha,0.85,-0.006,-0.155,0.502
2023,Chhattisgarh,1.31,-0.51,0.12,0.646
2023,Madhya Pradesh,1.3,-0.248,-0.187,0.484
2023,Rajasthan,1.57,0.128,0.006,0.587
2023,Gujarat,1.55,-0.354,0.032,0.482
2023,Maharashtra,1.24,-0.144,0.214,0.588
2023,Karnataka,3.0,-0.622,0.539,0.877
2023,Andhra Pradesh,1.45,-0.094,0.161,0.632
2023,Telangana,2.24,-0.024,0.152,0.728
2023,Tamil Nadu,2.0,-0.464,0.226,0.817
2023,Kerala,1.39,-0.249,0.195,0.593
2023,West Bengal,1.62,-0.586,0.057,0.519
2023,Assam,1.04,-0.317,0.087,0.534
2023,Uttar Pradesh,0.67,0.152,-0.128,0.461
2023,Haryana,2.23,-0.293,0.538,0.778
2023,Punjab,1.51,0.005,0.254,0.543
2023,Uttarakhand,1.77,-0.297,0.265,0.632
2023,Goa,0.96,-0.315,-0.029,0.399
